"Variable","Code","Definition"
"prompt_type","solution_request","Request for the chatbot to produce a solution, answer, or completed output."
"prompt_type","specific_request","Clearly delimited request for a concrete task or detail."
"prompt_type","elaborated_request","Request including context, constraints, or background before the ask."
"prompt_type","request_elaboration","Request to expand, clarify, or explain a previous response."
"prompt_type","request_evaluation","Request asking the chatbot to assess or judge something."
"prompt_type","request_example","Request asking for an example or illustration."
"prompt_type","refine_adapt","Request to revise, tailor, simplify, or adapt previous output."
"prompt_type","correction_challenge","Prompt challenging or correcting a previous response."
"prompt_type","testing_bot","Standalone question used primarily to test the chatbot."
"prompt_type","none","Not applicable (typically chatbot responses)."
"is_followup","True","Message explicitly builds on a previous response."
"is_followup","False","Message starts a new request or does not depend on prior turns."
"cps_behavior","task_delegation","User delegates the task to the chatbot without collaborative engagement."
"cps_behavior","shared_understanding","User clarifies or confirms shared understanding of the task."
"cps_behavior","negotiation_coordination","User steers or negotiates how the task should proceed."
"cps_behavior","team_maintenance","User maintains conversational flow or relational interaction."

"cps_behavior","none","No collaborative problem-solving behavior visible."
"response_substa nce","elaborate","Chatbot adds explanation, detail, or additional information."
"response_substan ce","refines_previous","Chatbot revises or improves a previous response."
"response_substan ce","none","No substantive response of this type."
"response_stance","confident","Response presented in a definite or authoritative tone."
"response_stance","neutral","Informational tone without strong confidence cues."
"response_stance","none","Not applicable."
"interactional_mov e","offer_choice_coconstruct on","Chatbot offers options or invites collaborative shaping of response."
"interactional_move","probe_alignment","Chatbot checks if its interpretation aligns with the user's intention."
"interactional_move","probe_evaluation_reflectic n","Chatbot prompts reflection or evaluation."
"interactional_move","probe_more_info","Chatbot asks for additional information or clarification."
"interactional_move","repair_meta_interaction","Chatbot manages or repairs the interaction itself."
"interactional_move","none","No interactional move applicable."
